,car_name,price,instalment,mileage,depreciation,purchase_date,remaining,remaining_years,remaining_months,source
892,Mercedes-Benz GLA-Class GLA180 Urban Edition,138800,1200,43333,18240,2019/05/31,6 yrs 8 mths ,6,8,Carbuyer
893,Mercedes-Benz GLA-Class GLA180 Urban Edition,132800,1200,50123,18286,2019/01/30,6 yrs 4 mths ,6,4,Carbuyer
894,Mercedes-Benz E-Class E200 Avantgarde,258800,2144,23242,25796,2021/05/14,8 yrs 8 mths ,8,8,Carbuyer
895,Honda CR-Z Hybrid 1.5 (A),39800,770,132000,14131,2010/06/29,2 yrs 9 mths ,2,9,Carbuyer
896,Subaru XV 2.0i-S EyeSight,85800,890,105000,14245,2018/02/20,5 yrs 5 mths ,5,5,Carbuyer
897,Suzuki Swift Sport 1.6M (COE till 08/2030),72800,603,158500,9106,2010/09/30,7 yrs 11 mths ,7,11,Carbuyer
898,Toyota Corolla Hatchback Hybrid 1.8A Ascent Sport,118800,985,31000,13479,2020/10/28,8 yrs 1 mths ,8,1,Carbuyer
899,Mercedes-Benz CLA-Class CLA180 AMG Line,109800,1188,87000,18121,2017/01/12,5 yrs 2 mths ,5,2,Carbuyer
900,Toyota Vellfire 2.4A X (COE till 11/2030),107800,893,110000,13076,2010/12/29,8 yrs 2 mths ,8,2,Carbuyer
901,Mercedes-Benz C-Class C200,104800,1517,70000,22345,2016/06/24,3 yrs 9 mths ,3,9,Carbuyer
902,Mercedes-Benz C-Class C180 Avantgarde,76800,1677,75000,25956,2015/06/02,2 yrs 5 mths ,2,5,Carbuyer
903,BMW M Series M4 Coupe,348800,3152,11500,50098,2019/07/01,6 yrs 4 mths ,6,4,Carbuyer
904,Audi A4 Mild Hybrid 2.0A TFSI S-tronic,170800,1415,9000,17836,2021/03/18,8 yrs 6 mths ,8,6,Carbuyer
905,Porsche 911 Turbo S Coupe 3.8A PDK (COE till 08/2030),493800,4091,61200,61873,2010/08/27,7 yrs 11 mths ,7,11,Carbuyer
906,Mercedes-Benz C-Class C200 Avantgarde (COE till 08/2027),58800,665,115000,11805,2007/08/28,4 yrs 11 mths ,4,11,Carbuyer
907,BMW 6 Series 640i Coupe Sunroof (COE till 04/2031),149800,1241,118000,17303,2011/09/29,8 yrs 7 mths ,8,7,Carbuyer
908,Mazda 6 2.0A,130800,1084,8000,13606,2021/07/29,8 yrs 10 mths ,8,10,Carbuyer
909,Maserati GranTurismo Cambiocorsa (COE till 09/2031),205800,1705,70000,22673,2011/10/17,9 yrs 0 mths ,9,0,Carbuyer
910,Lexus IS Hybrid IS300h Executive,101800,1505,95000,21046,2016/03/06,3 yrs 8 mths ,3,8,Carbuyer
911,Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,124800,1529,75000,21249,2017/03/29,4 yrs 6 mths ,4,6,Carbuyer
912,Lamborghini Aventador LP700-4 (COE till 06/2031),681800,5648,66000,77261,2012/12/06,8 yrs 9 mths ,8,9,Carbuyer
913,Honda Civic 1.6M VTi (COE till 11/2031),89800,744,103000,9735,2011/11/24,9 yrs 2 mths ,9,2,Carbuyer
914,BMW M Series M3 Coupe Competition (COE till 05/2031),158800,1316,80000,18164,2012/10/04,8 yrs 8 mths ,8,8,Carbuyer
915,Mazda CX-3 2.0 Standard (A),93333,798,24883,12484,2019/06/27,6 yrs 9 mths ,6,9,Carbuyer
916,Nissan Qashqai 1.2A DIG-T,52800,873,103800,13907,2015/12/29,3 yrs 3 mths ,3,3,Carbuyer
917,BMW 5 Series 523i Sunroof (COE till 09/2030),88800,736,130845,10995,2011/01/21,8 yrs 0 mths ,8,0,Carbuyer
918,Honda Vezel  1.5 X (A),65800,1063,71000,17868,2016/01/02,3 yrs 4 mths ,3,4,Carbuyer
919,Mercedes-Benz S-Class S500L Mild Hybrid AMG Line 4MATIC Premium,518888,4298,30,45070,2022/04/13,9 yrs 7 mths ,9,7,Carbuyer
920,DFSK EC35 Electric,109800,910,50,11491,2022/04/03,9 yrs 5 mths ,9,5,Carbuyer
921,Mitsubishi Attrage 1.2 CVT Style (A),70800,606,38890,10007,2019/02/07,6 yrs 9 mths ,6,9,Carbuyer
922,Mercedes-Benz A-Class A200,51800,1540,130000,24041,2014/02/07,1 yrs 9 mths ,1,9,Carbuyer
923,Volkswagen Beetle Cabriolet 1.2A TSI,122800,1164,30000,18110,2018/09/28,6 yrs 0 mths ,6,0,Carbuyer
924,Nissan Sylphy 1.6A Signature Series,81800,715,58000,11129,2019/11/04,6 yrs 7 mths ,6,7,Carbuyer
925,Hyundai Elantra 1.6A GLS S,62800,757,63000,11993,2017/05/05,4 yrs 7 mths ,4,7,Carbuyer
926,Audi Q3 1.4A TFSI S-Tronic,169800,1407,10000,18633,2020/12/18,8 yrs 3 mths ,8,3,Carbuyer
927,Honda Vezel 1.5A X Honda Sensing,95500,800,34900,12621,2019/08/14,6 yrs 11 mths ,6,11,Carbuyer
928,Honda Vezel 1.5A X Honda Sensing,98800,827,27400,13096,2019/08/14,6 yrs 11 mths ,6,11,Carbuyer
931,Suzuki Every Turbo,52800,438,100,5913,2021/07/16,8 yrs 10 mths ,8,10,Carbuyer
934,Honda Shuttle 1.5A G Honda Sensing,107000,887,3800,11045,2022/07/01,9 yrs 4 mths ,9,4,Carbuyer
936,Honda Shuttle 1.5A G Honda Sensing,94800,786,10600,10999,2021/04/01,8 yrs 3 mths ,8,3,Carbuyer
937,Volkswagen Sharan 2.0A TSI Sunroof,161888,1341,10200,17950,2020/04/08,7 yrs 10 mths ,7,10,Carbuyer
943,Honda Shuttle 1.5A G Honda Sensing,97000,804,13700,10962,2021/04/19,8 yrs 7 mths ,8,7,Carbuyer
947,Honda Freed 1.5A G Honda Sensing,136500,1131,370,12867,2022/03/24,9 yrs 6 mths ,9,6,Carbuyer
948,Honda Freed 1.5A G Honda Sensing,135500,1123,80,12922,2022/11/02,9 yrs 5 mths ,9,5,Carbuyer
950,Citroen Berlingo 1.5 BlueHDi [Euro VI] (A),79800,661,22000,9246,2021/03/29,8 yrs 6 mths ,8,6,Carbuyer
951,BMW X7 xDrive40i Pure Excellence 7-Seater,366800,3103,35000,42129,2019/07/30,6 yrs 10 mths ,6,10,Carbuyer
952,Honda Vezel 1.5A G Honda Sensing,125800,1042,5000,12458,2022/05/13,9 yrs 8 mths ,9,8,Carbuyer
954,Honda Stepwagon 1.5A Spada,157000,1301,9300,15940,2021/10/06,8 yrs 9 mths ,8,9,Carbuyer
956,Honda Odyssey Hybrid 2.0A e-HEV Absolute,201000,1665,150,18854,2022/09/05,9 yrs 8 mths ,9,8,Carbuyer
958,Nissan Urvan NV350 2.0A,63500,526,500,6577,2022/03/29,9 yrs 6 mths ,9,6,Carbuyer
959,Nissan NV200 1.6A DX,64800,537,10020,7411,2021/07/05,8 yrs 8 mths ,8,8,Carbuyer
962,Mercedes-Benz GLB-Class GLB200 AMG Line 7-Seater,204800,1697,2100,20874,2021/07/19,8 yrs 10 mths ,8,10,Carbuyer
966,Audi A5 Sportback 2.0A TFSI S-tronic Design,147500,1551,16100,23112,2018/01/02,5 yrs 4 mths ,5,4,Carbuyer
967,Audi A3 Sedan Mild Hybrid 1.5A TFSI S-tronic,160800,1332,8000,16938,2021/09/14,9 yrs 0 mths ,9,0,Carbuyer
968,BMW 5 Series 530i,157800,1785,65500,25287,2017/08/29,4 yrs 11 mths ,4,11,Carbuyer
969,BMW X7 xDrive40i Pure Excellence 7-Seater,458800,3801,2688,43339,2021/01/07,8 yrs 9 mths ,8,9,Carbuyer
970,BMW X5 xDrive45e Plug-in Hybrid xLine,379800,3146,2388,34169,2021/11/30,9 yrs 2 mths ,9,2,Carbuyer
971,Toyota Starlet (COE till 01/2031),75800,628,181988,9009,1982/03/24,8 yrs 4 mths ,8,4,Carbuyer
972,Toyota Crown Hybrid 2.5A RS,279800,2318,4788,26361,2021/11/23,9 yrs 2 mths ,9,2,Carbuyer
973,Suzuki Every (New 5-yr COE),55800,662,76188,11862,2007/12/07,4 yrs 8 mths ,4,8,Carbuyer
974,Lexus NX Turbo NX300,195800,1622,24488,23249,2019/04/11,7 yrs 1 mths ,7,1,Carbuyer
