source,model,brand,price,depreciation,registration_date,coe_remaining_mths,mileage
motorist.sg,Lamborghini Urus,Lamborghini,968800,90182,15/10/21,109,7000
motorist.sg,Nissan Nv200 1.5 Mt,Nissan,55800,9334,28/8/18,71,
motorist.sg,Fiat Doblo Cargo Maxi 1.6 Mtj Amt Glaze,Fiat,43800,9660,20/3/17,54,
motorist.sg,Hummer H3 3.7 A,Hummer,113800,17827,23/1/09,76,79000
motorist.sg,Honda Jazz 1.3L A,Honda,87800,9806,19/8/11,107,176500
motorist.sg,Bmw 530E Led Nav,Bmw,196800,25056,31/12/18,75,20000
motorist.sg,Seat Arona Style 1.0 Tsi 116 7At,Seat,94800,11488,23/7/20,94,30000
motorist.sg,Volkswagen Touran 1.6 Tdi At 1T332Z,Volkswagen,38800,16135,22/7/14,22,93000
motorist.sg,Peugeot 3008 1.2 Eat8 Active Premium,Peugeot,144800,14337,26/11/21,110,9500
motorist.sg,Mitsubishi Attrage 1.2 Cvt,Mitsubishi,51800,10542,11/5/17,56,83000
motorist.sg,Mercedes Benz E200 Sedan Avg (R18 Led),Mercedes,217888,22466,3/11/20,97,55000
motorist.sg,Porsche Panamera G2 Pdk E6,Porsche,329888,46104,21/12/17,63,68000
motorist.sg,Bmw M5 Sr Hid Dsc Nav Hud Nvd Rr/Ent,Bmw,178888,20475,30/5/12,104,66000
motorist.sg,Volvo V40 T2 (A),Volvo,55800,14070,22/12/15,39,90000
motorist.sg,Toyota Corolla Altis 1.6 Elegance (Auto),Toyota,90800,12126,27/3/19,78,40000
motorist.sg,Renault Megane Sedan 1.2 Tce At Eu6 Led,Renault,77800,12002,30/4/18,67,40000
motorist.sg,Peugeot 3008 1.6 EHdi Etg Active Suv,Peugeot,49800,12572,4/3/16,41,88000
motorist.sg,"Mini Countryman Jcw All4 Led Hl, Pgr",Mini,208800,24929,14/10/19,85,29000
motorist.sg,Mercedes Benz Glb200 Premium Amg Line 7Seater,Mercedes,206800,21355,20/4/21,103,15000
motorist.sg,Mini Cooper 1.6 At Abs D/Airbag 2Wd 3Dr,Mini,61800,10039,24/11/08,73,110000
motorist.sg,Bmw 420I Gran Coupe A/T S/R Hid Nav,Bmw,81000,22680,27/2/15,29,78630
motorist.sg,Mazda 3 Sedan 1.5 At Eu6,Mazda,65800,11435,29/12/17,63,65000
motorist.sg,Hyundai Tl Tucson Fl 1.6 Gls TGdi Dct 2Wd Sr,Hyundai,136800,15856,13/7/20,94,24000
motorist.sg,Mercedes Benz E250 Avg (R18 Led),Mercedes,148800,24139,10/4/17,55,95000
motorist.sg,Volkswagen Jetta Gp 1.4 Tsi 90 A/T Hl 1634G5,Volkswagen,40000,12569,25/6/15,33,207000
motorist.sg,Mercedes Benz S320L (R19 Led),Mercedes,318800,35275,8/10/19,85,36000
motorist.sg,Bmw 520I Luxury Adap Led Hl,Bmw,229000,22628,26/3/21,102,15999
motorist.sg,Audi S3 Sedan 2.0 Tfsi Qu (Pi),Audi,135800,25567,25/11/16,50,42000
motorist.sg,Porsche 911 Carrera Cab (991Ii) Pdk E6,Porsche,498800,68579,2/5/18,67,50000
motorist.sg,Seat Leon Cupra 2.0 Tsi,Seat,190000,21459,20/8/20,95,34000
motorist.sg,Porsche 911 Carrera S Cabriolet,Porsche,688800,65577,25/1/21,100,15000
motorist.sg,Porsche 911 Gt3 Rs (991Ii) Pdk E6 W/Rc,Porsche,908888,119522,19/10/18,73,5300
motorist.sg,Porsche Cayenne V6 (E2Ii) Tip E5 S/R,Porsche,223800,37780,12/1/16,40,100000
motorist.sg,Renault Megane Iii Hatch GtLine 1.5 Dci At,Renault,52800,12675,15/8/16,47,88000
motorist.sg,Volkswagen Passat B8 1.8 Tfsi At 3G24Jz,Volkswagen,109800,15446,8/11/18,74,78000
motorist.sg,Volvo S60 T4 Rd,Volvo,155800,18967,10/10/19,85,70000
motorist.sg,Honda Vezel 1.5G Cvt,Honda,119888,12806,16/8/21,107,23000
motorist.sg,Audi A4 Sedan 2.0 Tfsi S Tronic,Audi,124800,17770,14/8/18,71,20626
motorist.sg,Kia Cerato K3 1.6A Sunroof,Kia,71888,12147,15/12/17,63,125000
motorist.sg,Toyota Vios E Auto,Toyota,59000,8758,18/11/09,80,128344
motorist.sg,Chevrolet Cruze 1.6L Auto Abs D/Ab 2Wd 4Dr,Chevrolet,62888,7872,29/9/10,95,103214
motorist.sg,Mitsubishi Lancer 1.5 Mivec Gls 4A/T,Mitsubishi,58888,10495,16/4/08,67,117219
motorist.sg,Honda Fit Hybrid 1.5 Auto,Honda,80888,12340,6/12/18,74,38000
motorist.sg,Mazda 3 Sedan 1.5 At Eu6,Mazda,82888,12008,21/12/18,75,66000
motorist.sg,Mercedes Benz C180 Avantgarde (R17 Led),Mercedes,116800,19524,14/7/17,58,65000
motorist.sg,Audi A1 Sb 1.0 Tfsi (Pi),Audi,47800,12825,28/1/16,40,71000
motorist.sg,Bmw 318I Led Nav,Bmw,105800,17295,19/10/17,61,30000
motorist.sg,Honda Shuttle 1.5 Hybrid At Abs D/Airbag 2Wd,Honda,62800,14246,30/11/16,50,92000
motorist.sg,Kia Cerato Ex Forte 1.6L A/T Abs Ab 2Wd 4Dr,Kia,27988,9372,28/10/10,35,136000
motorist.sg,Toyota Vios J Auto,Toyota,19988,10175,24/8/09,23,156000
motorist.sg,Mercedes Benz C180 Sedan Avg (R17 Led),Mercedes,176888,19151,26/10/20,97,30000
motorist.sg,Bmw M3 4.0 A,Bmw,166888,19289,1/7/11,103,98000
motorist.sg,Bmw 216I Active Tourer,Bmw,142888,14212,24/6/21,105,10500
motorist.sg,Honda Fit 1.3G A,Honda,15800,11155,6/2/09,16,180000
motorist.sg,Suzuki Sx4 1.6Nb At,Suzuki,15800,10082,23/4/09,18,160000
